;cidade;descricao;contato;telefone;endereco;email;site
;BARRA DO RIBEIRO;DJM INDÚSTRIA E COMÉRCIO DE CEREAIS LTDA;djm@djmarroz.com.br;(51) 3371-8400;BR 116 Km 343;;
;Cachoeira do Sul;Engenho Moraes Ltda ; Emileni ; (51) 3723 - 7600 ;BR 153, KM 377, Nº 894 - Marina, Cachoeira do Sul - RS, 96504-050; compras@moraes.com.br ;
;Cachoeira do Sul;Engenho Treichel (Alfredo A. Treichel & Cia. Ltda.); Getulio / Luciano Junqueira ; (51) 3722 - 2383 ;Av. Brasil, 2593 - Centro, Cachoeira do Sul - RS, 96503-490; treichel@treichel.com.br ;
;Cachoeira do Sul;IRMÃOS TREVISAN S/A;trevisan@trevisansa.com.br;(51) 3722-2469;Av. Brasil, Nº 791;;www.trevisansa.com.br
;Camaquã;3 Tentos Agroindustrial;Marcelo Beiersdorf Grund / (Gerente de Projetos - Alexandre Maldone - 55 996166461 26/11/2020);51 995463337 ;Av. Dorval Ribeiro, 701 DI Camaquã;marcelo.grund@3tentos.com.br;
;Camaquã;Santa Lucia (Blueville);Regis Brasil - regisbrasil@blueville.com.br;(51) 3692-9000 / 991271019;Rod. BR 116, Km 395 - Cep: 96180-000;;
;Camaquã;Grupo HT Nutri;Cristiano;51 36928800;Rod. BR 116, Km 388;Cristiano@htnutri.com.br;
;Camaquã;Viviana Alimentos;Osmar / Rafael 51-981475511;(51) 3671 2059 / 3671 2011;Av. José Loureiro da Silva, 1297 Bairro Carvalho Bastos;"osmar@viviana.com.br; rafael@viviana.com.br";viviana.com.br
;Camaquã;Camil Alimentos;Diego Nunes / Luciano Boeira;(51) 36717300;BR-116, s/n - São CARLOS, RS, 96180-000;"Diego.nunes@camil.com.br; luciano.boeira@camil.com.br ";
;Camaquã;Arrozeira Bom Jesus Ltda;Denilson;(51) 2127-0770;Rodovia BR 116 Km 394 Distrito Industrial próximo a entrada da cidade de Camaquã;denilson@arrozeirabomjesus.com.br;
;Camaquã;Cooperativa Arrozeira Extremo Sul Ltda;;51 21270012;Estrada BR 116, km 388 Vila São Carlos;itamar.bernar@extremosul.com.br;
;Candelária;ARROZEIRA CANDELÁRIA LTDA;arrozcan@terra.com.br;(51) 3743-1442;Rua 20 de setembro, 1576;;
;Canguçu;Akatu Sementes;;(53) 981241678 / (53) 981220407;Estrada Cerro da Boneca, SN - BR 392 Km 121 / 1º Distrito | Canguçu - RS Cep: 96600-000 | Caixa Postal: 21;;
;Canguçu;VHL Insumos e Cereais LTDA;;(53) 999944479 (53) 3252-2006;RS-265 / Posto Branco, 1º Distrito / Canguçu - RS / 96600-000 / Brasil;comercialbergmann@yahoo.com.br;
;Capão do Leão;Arrozeira Adib Peixoto ;Julio;53 984180235 / 3275.5053;Av. Três de Maio, 3342 - Capão do Leão/RS - Brasil;compras@rainhabrasil.com.br;
;Capivari do Sul;Codil Alimentos;Jéssica;(51) 3685-1202;Av. Telmo Sessim, 1061 - Centro, Capivari do Sul - RS, 95552-000;comprasrs@arrozcodil.com.br;
;Capivari do Sul;Cooperativa Rizícola Pitangueiras Ltda;NÃO ENVIAR MATERIAL (logistica@coripil.com.br);(51) 3685-1177;Santos, Av. Adrião Monteiro, 1466 - Centro, Capivari do Sul - RS, 95552-000;;
;Dom Pedrito;CORADINI ALIMENTOS DOM PEDRITO;Paulo - almoxarifado@coradini.com.br;(53) 3243-5649 * 3243-3066;BR 293, Km 250,2;;
;Dom Pedrito;CORADINI ALIMENTOS LTDA;elio@coradini.ind.br;(53) 3243-3066;BR 293, Km 250,2;;www.coradinialimentos.com.br
;Dom Pedrito;ENGENHO CORADINI LTDA;engenho@coradini.com.br;(53) 3243-3466;Rua Sete de Setembro, 2900 - Bairro Getúlio Vargas;;www.coradini.com.br
;Dom Pedrito;ROBERTO CORADINI & CIA LTDA;rcalimentos@rcalimentos.com;(53) 3243-1056;Rua Serafim dos Anjos Freire, 3444;;www.rcalimentos.com
;Eldorado do Sul;Rampinelli Alimentos;Valdomiro - eldourado2@rampinelli.com.br;51 3080-2000/ 93262066;BR-290, 116 - Boa Vista, Eldorado do Sul - RS, 92990-000;;voltou
;Eldorado do Sul;ENGENHO A M. LTDA;engenhoam@engenhoam.com.br;(51) 3481-3940;Av Mário Ribeiro, 470 - Caixa Postal, 12;;http://metapublicidade.com/engenhoam
;Forquilhinha/SC;Rampinelli Alimentos;Alexandre;48-3463 8700 / 48-999055944;Rod. Antônio Valmor Canela, 2300 Sanga do Coqueiro,Forquilhinha/SC;compras2@rampinelli.com.br;
;Glorinha;GRACEL IND. E COM. CEREAIS LTDA;contato@extraalimentos.com.br;(51) 3487-1092;Rua Avelino Maciel Neto, 130, Centro;;www.extraalimentos.com.br
;Glorinha;SOARES VARGAS & VARGAS LTDA;soares.vargas@terra.com.br;(51) 3487-1036;Rua Deoclecio Ferrugem, 20;;
;Gravataí;GAITEIRO ALIMENTOS LTDA;Valdemir;(51) 3488-1732;Rod RS 118 KM 15 Nº 6880 / Bairro Arco Iris;faturamento@gaiteiroalimentos.com.br;www.gaiteiroalimentos.com.br
;Itaqui;CAMIL ALIMENTOS S/A;camil@camil.com.br;(55) 3433-2121;Rua Dr. Afonso Escobar 1193 - Caixa Postal, 15;;www.camil.com.br
;Itaqui;CEREAIS ITAPUÃ LTDA;cereaisitapua@bnet.com.br;(55) 3433-7222;Acesso Principal BR 472, s/n - Caixa Postal, 13;;
;Itaqui;COMERCIAL DE PRODUTOS AGRÍCOLAS PITANGUEIRA LTDA;Emerson Braga;(55) 3433-2255;Av. Borges de Medeiros, 1463 - Caixa Postal 12;itapemasa@pitangueira.com.br;www.pitangueira.com.br
;Itaqui;FOLETTO COMÉRCIO DE ALIMENTOS LTDA;atendimento@folettoalimentos.com.br;(55) 3433-2011;Vila Sesmaria Rocha;;www.folettoalimentos.com.br
;Itaqui;PRADEBON & CIA LTDA;pradebon@terra.com.br;(55) 3433-1899;Av Borges de Medeiros 2292 - Caixa Postal, 48;;
;Itaqui;RAROZ AGROINDÚSTRIAL LTDA;raroz@raroz.com.br;(55) 3433-1124;BR 472, Km 80 - Caixa Postal, 120;;www.raroz.com.br
;Mata;Cereais Peger Ltda;peger@gpsnet.com.br;(55) 3259-1194;Rua Cap. Nicolau Schmidt, 200;;
;Nova Prata;Ouro Fertil;Darli;54 32428300; Av. Presidente Vargas, 1454 - Centro - Nova Prata - RS;"contato@ourofertil.com.br; darli@terra.com.br";
;Nova Santa Rita;ATL INDÚSTRIA E COMÉRCIO DE CEREAIS LTDA;arrozella@arrozella.ind.br;(51) 3479-5066;Br 386, Km 436 S/N;;www.arrozella.ind.br
;Palmares do Sul;Cooperativa Arrozeira Palmares;Luciano compras / Luciano manut.;(51) 3668-1166;Largo Alípio Osório Azevedo, nº 10, Palmares do Sul - RS, 95540-000;"compras@arrozpalmares.com.br; industria@arrozpalmares.com.br";
;Pantano Grande;CEREALISTA EIDT LTDA;Claudio;(51) 3734-1344;BR 290 Km 222;claudio@arrozceel.com.br;
;Pelotas;CEREALISTA POLISUL- Alteza Alimentos;Silva;53 32833500;Av. Fernando Osório, 5508 - Três Vendas, Pelotas - RS;silva@polisulalimentos.com.br;
;Pelotas;Grupo Brejeiro;Otavio;(53) 3303-6812 / 3273-6356;Rua Leopoldo Brod, nº 634 – B. Três Vendas;compras@brejeiro.com.br;
;Pelotas;Camil ;Vitor Coelho;53 33095636;;;
;Pelotas;Arrozeira Pérola Ltda;Luiz Roberto ;53 32736404;Leopoldo Brod, 572;luiz@arrozeiraperola.com.br;
;Pelotas;JOSAPAR JOAQUIM OLIVEIRA S/A PARTICIPAÇÕES;Eliane Bassi / Rodrigo Bassi / Rogerio Teixeira  rogerio.texeira@josapar.com.br / Mario Soares;(53) 3284-1000 (53) 3284-1151;Rodovia BR 116 Km 512, 4001 / 96070-560 / Vila Princesa;"eliane.bassi@josapar.com.br; rodrigo.bassi@josapar.com.br;; mario.soares@josapar.com.br";
;Pelotas;Puro Grão Ind. Com. de Arroz;Luis Diaz;53 - 32816397 / 30257066 ;Av. Herbert Hadler, 1385 DI;luisdiaz@purograo.com;
;Pelotas;NELSON WENDT CIA LTDA;Marcelo Ferreira Ribeiro;53 32833326 / 981241522;Av. Leopoldo Broad, 101 / 96070-370 / Três Vendas;marcelo@nelsonwendt.com.br;
;Pelotas;Engenho São Bento;Dilmar Zanatta - 53 997102406;53 3025.3500;BR 116, 6090;"contato@esbento.com.br; zanatta@esbento.com.br";
;Pelotas;Arrozeira Pelotas;Marcelo Tavares - 53 991687574;53-3273-7488;Av. Fernando Osório, 5552 - Bairro Três Vendas - 96070-000 - Pelotas - RS;f7.eletrica@arrozeirapelotas.com.br;
;Pelotas;ARROZEIRA DA QUINTA ALIMENTOS LTDA;Augusto;( 53) 32391147 / 53 999331987-Mario;RUA POETISA RIPOLL 182 VILA DA QUINTA;augusto@arrozeiradaquinta.com.br;
;Pelotas;CEREALISTA OBELISCO LTDA;Marcos Vinicius Pizzol;(53) 3223-3746;Av. Fernando Osório, 2988, Três Vendas;mvpizzol@gmail.com;
;Pelotas;EHLERT INDUSTRIA E COMÉRCIO LTDA;Helio Ehlert;(53) 3273-7330;Av Fernando Osório, 5270;helioehlert@Outlook.com;www.ehlertltda.com.br
;Porto Alegre;SLC ALIMENTOS LTDA;slcalimentos@slcalimentos.com.br / becker@slcalimentos.com.br;(51) 2131-4455;Av. Borges de Medeiros, 2233 - 5º andar - Bairro Praia de Belas;;www.slcalimentos.com.br
;Rio Grande;CAMIL ALIMENTOS S/A;Manutenção - Josimar Souza;(53) 3237-9119;Rod BR 392, Km 43, s/nº;josimar.souza@camil.com.br;www.camil.com.br
;Rio Pardo;Líder do Sul Alimentos Ltda.;liderdosul@liderdosul.com.br;(51) 3731.2100;BR 471 s/n km 161 - Distrito Industrial - RS - 96640-000;;
;Rosário do Sul;COOP. AGROINDUSTRIAL ROSÁRIO DO SUL LTDA - COARROZ;coarroz@coarroz.com.br;(55) 3231-2480;Rua Miguel Irion,100 - Caixa Postal, 06;;www.coarroz.com.br
;Santa Maria;Primo Berleze e Cia. Ltda;Arlindo;(55) 3226-1355;;pberleze@terra.com.br;
;Santa Maria;Freitas e Cia Ltda;Cesar;(55) 3222.6522;;arroz.freitas@gmail.com;
;Santa Maria;J Fighera e Cia Ltda;Jairo 55 984279152;(55) 3226-1428;;;
;Santa Maria;Marzari Alimentos Ltda;Alexandre;(55) 3301-3301;;alexandre@marzari.com.br;
;Santa Maria;FAVARIN E CIA LTDA;favarin.cia@uol.com.br;(55) 3226-1376;Av. Osvaldo Cruz, 1044, Km 03;;www.favarin.com.br
;Santa Vitória do Palmar;JORGE COUTINHO SCHMIDT;ccordao@terra.com.br;(53) 3261-1489;Estr. da Canoa, 63 - Caixa Postal, 48;;
;Santo Antônio da Patrulha;Bianchin Indústria Arrozeira;Isaac Eletrecista;51 984511365;Estr. da Costa, Santo Antônio da Patrulha - RS, 95500-000;;
;Santo Antônio da Patrulha;ARROZAGRO CEREALISTA LTDA;arrozagro@arrozagro.com.br;(51) 3662-1942;Estr. do Morro Grande 4970 - RS 474, Km 01 - Caixa Postal 83;;www.arrozagro.com.br
;Santo Antônio da Patrulha;DEMELLO ALIMENTOS LTDA;atendimento@demelloalimentos.com.br;(51) 3662-3100;Rod. Cristóvão Pereira de Abreu, 604;;www.demelloalimentos.com.br
;Santo Antônio da Patrulha;REALENGO ALIMENTOS LTDA;realengo@realengo.com.br;(51) 3955-0926;Estr. do Morro Grande, 3801;;www.arrozrealengo.com.br
;São Borja;CEREALISTA ALBARUSKA LTDA;atendimento@albaruska.com.br;(55) 3431-0050;Estr. São Borja - Santa Luzia KM 9;;www.albaruska.com.br
;São Borja;CEREALISTA STRECK LTDA;strecksb@brturbo.com.br;(55) 3431-1802;BR 285 KM 554 - Caixa Postal, 23;;
;São Borja;CIAGRO ALIMENTOS LTDA;sac@ciagroalimentos.com.br;(55) 3431-1840;ROD BR 472, KM 407,5 - Caixa Postal 42;;www.arrozciagro.com.br
;São Borja;PIRAHY ALIMENTOS LTDA;pirahy@pirahy.ind.br;(55) 3431-0300;Rua Tristão de Araujo Nobrega, 1580;;www.pirahy.ind.br
;São Gabriel;URBANO AGROINDUSTRIAL LTDA;saogabriel@urbano.com.br / luisomar@urbano.com.br;(55) 3232-8500;Rod. Br 290 Km 420;;www.urbano.com.br
;São João do Polêsine;F Dotto e Cia Ltda - Engenho Nossa Senhora de Lourdes;;(55) 3289-1092;;;
;São Lourenço;Pomerano alimentos (Cooperativa Mista de Pequenos Agricultores da Região Sul LTDA);Lauro Souza;53 984525085;RS 265, km 24,5 - Boa Vista / 6º Distrito de São Lourenco do Sul;manutencao@pomeranoalimentos.coop.br;
;São Lourenço do Sul;ADB ALIMENTOS LTDA;contato@adbalimentos.com.br;(53) 3251-2266;Estrada Passo dos Baios, 1º Distrito - Caixa Postal 53;;www.adbalimentos.com.br
;São Pedro do Sul;Pagliarin e Cia Ltda;Eduardo;(55) 3276.1100;;pagliarin@pagliarin.com.br;
;São Pedro do Sul;FELICE INDÚSTRIA DE ARROZ LTDA;atendimento@soufelice.com.br;(55) 3276-1313/ Fax: 3276-1313;BR 287, Km 301;;www.soufelice.com.br/felicealimentos/
;São Pedro do Sul;PAGLIARIN & CIA LTDA;pagliarin@pagliarin.com.br;(55) 3276-1100;Rua Jerônimo Gomes, 1155 - Caixa Postal, 29;;www.pagliarin.com.br
;São Sepé;Arrozeira Sepeense S/A;Eduardo Gonçalves  55 9662-4047;(55) 3233-1408;;eduardo@arrozeira.com.br;
;Sentinela do Sul;AGROPARR ALIMENTOS LTDA;Devid;(51) 3672-5000;BR 116, Km 350, Araçá Vencato - Caixa Postal, 80;compras@agroparr.com.br;www.agroparr.com.br
;Sertão Santana;COMERCIAL DE CEREAIS MANINHO LTDA;Ricardo;(51) 3495 - 1159 / (51) 3495 - 1501;Estr. Boa Esperança, S/N - Km 1,2;arrozmaninho@terra.com.br;www.cereaismaninho.com.br
;Sertão Santana;LINEO PINZON COM E BENEF CEREAIS LTDA;lpinzon@terra.com.br;(51) 3482-1216;Linha Exploração S/N - Vila Derrose Caixa Postal, 20;;
;Sertão Santana;ROSINA ALIMENTOS EIRELI;Diego Koller;(51) 3495-1252;Estr. Linha Rosina, S/N, Km 02;diegokoller@rosina.ind.br;
;Tapes;BEM ESTAR ALIMENTOS LTDA;Fabio;(51) 4063 - 9018;Rua A, nº 5001 - Distrito Industrial;compras@bemestaralimentos.ind.br;www.bemestaralimentos.ind.br
;Uruguaiana;CAMIL ALIMENTOS S/A;camil@camil.com.br;(55) 3413-4044;Av Assis Brasil 1021, Bairro Santana;;www.camil.com.br
;Uruguaiana;GENÉSIO CEOLIN & CIA LTDA;genesio@bnet.com.br;(55) 3413-1241;Avenida Senador Silveira Martins, 901;;www.grupoceolin.com.br
;Uruguaiana;GUACIRA ALIMENTOS LTDA;Clodoaldo;(55) 3413-2176;Rua Érico Veríssimo, 1023;clodoaldo.vigao@guacira.com.br;www.guacira.com.br
;Uruguaiana;ITAOBI IMPORT. E EXPORT. DE CEREAIS LTDA;itaobi@uol.com.br;(55) 3412-3399;BR 472, Km 587, S/N, Sesmaria Itapitacaí;;
;Uruguaiana;SÃO JOÃO ALIMENTOS LTDA;Sergio;(55) 2102-1329;Rod BR 472, Km 7, S/N, Trevo Salto Sul;sergio@pateko.com.br;www.saojoaoalimentos.com
;Uruguaiana;ZAELI ALIMENTOS SUL LTDA;Cristiano Borges;(55) 3413-4361;BR 472, Km 577, s/n;cristiano.borges@zaelisul.com.br;www.zaeli.com.br
;Viamão;Engenho Viamonense Indústria e Comercio de Cereais Ltda;Leandro - Seu Nino;(51) 3485.1202;;"leandro@engenhoviamonense.com.br; nino@domcarlito.com.br";
;Viamão;CIRIMBELLI BENEFICIAMENTO DE CEREAIS EIRELLI;rocha@cirimbellicereais.com.br;(51) 34851301;RS 040 KM 11 Nº 1181 CX.P.146;;
;Viamão;J. M. ROCHA & CIA LTDA;jmrocha@via-rs.net;(51) 3485-1131;Av Senador Salgado Filho, 11181 - Caixa Postal, 146;;www.fiuzaecirimbelli.com.br
;São Francisco de Paula;Deutschips (MDA Comércio e Transportes de Cereais LTDA. EPP);Alã; 54 3244-2176 | 54 99978-7615;"Rua Benjamin Constan nº 2985 - São Francisco de Paula - RS
CEP: 95400 000 |";ala@deutschips.com.br;
;Planalto;Laticínios Frizzo;Leandro;(54) 3227-2322;Rod RS 504 KM 02, Linha Botafogo Planalto – RS 98470-000;compras.frizzo@hotmail.com;
;São Sebastião do Cai;Conservas Oderich - Administração;Elet. Miguel / Móveis Leandro;(51) 3635-1609;Av. Osvaldo Aranha, 1118, São Sebastião do Caí - RS, 95760-000;"miguel@oderich.com.br; leandro@oderich.com.br";
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Supermercados / Alimentos;Bento Gonçales - RS;Adria Alimentos do Brasil Ltda  (Grupo Mdias Branco); Andreia Grando ; (54) 2105 - 7300 ;Rua Espírito Santo, 440, Santa Rita, Bento Gonçalves/RS – CEP: 95.700-656; andreia.grando@mdiasbranco.com.br ;
;Bento Gonçalves - RS;COOP VINÍCOLA AURORA LTDA - 388; Rosane Frumi / Valdir Busnelo - valdir.busnelo@vinicolaaurora.com.br ; (54) 2102 - 2000 (54) 2102-2001 ;; rosane.frumi@vinicolaaurora.com.br ;
;Bento Gonçalves - RS;VINHOS SALTON S/A IND E COM;Jean / Giovanni;(54) 2105 - 1000 (54) 2105-1001;;"jean.poletto@salton.com.br; giovanni.marangon@salton.com.br";
;Bento Gonçalves - RS ;VINÍCOLA MIOLO LTDA - 886;Wagner Dias / Andressa Peruzzolo;(54) 2102 - 1500;;"wagner.dias@miolo.com.br; andressa.peruzzolo@miolo.com.br";
;Cachoeira do Sul - RS;Divinut Indústria de Nozes Ltda; Fabiane / Raul ; (51) 3722 - 8002 (51) 3723-6003 ;BR-153, 404 - Nossa Sra. de Fatima, Cachoeira do Sul - RS, 96503-260;" financeiro@divinut.com.br; assistenciatecnica@divinut.com.br ";
;Cachoeira do Sul - RS;Tischler ;Alessandra Nosvitz;(51) 3722 4433;Rua Julio de Castilhos,413 Centro ;alessandra.nosvitz@tischler.com.br;
;Carazinho - RS;Piracanjuba Unidade Rio Grande do Sul;Everton Tolotti / Ildovander Oliveira Ildovanderliveira@piracanjuba.com.br;(54) 3329-9400;Rua Empresário Agnello Senger, SN Carazinho/RS – CEP 99.500-000;Everton.tolotti@piracanjuba.com.br;
;Goiania - GO;Piracanjuba - Escritório Sede;Adriana Kuhn;;;Adriana.kuhn@piracanjuba.com.br;
;Governador Valadares - MG ;Piracanjuba Unidade Minas Gerais;Jadson Souza;(33) 3213-3700;Rodovia BR 259, KM 152, Zona Rural / Governador Valadares/MG - CEP 35.104-000;Jadson.souza@piracanjuba.com.br;
;Lajeado - RS;Super Imec;Ana;(51) 3714 - 8100;;compras.adm@superimec.com.br;
;Lajeado - RS;Prass Super e Atacado;Cristiano;(51) 37142747;Av. Franz Richter (Vicittá  Urban Center) Conventos, Lajeado / RS;cristiano@prass.com.br;
;Lajeado - RS;Italianinho - Buona Cucina;Leandro S;(51) 3714.8170;Rod. RS 130.3880 - Bairro Moinhos - Lajeado/RS - CEP 95900-000;leandros@italianinhoalimentos.com.br;
;Marília - SP;MARILAN ALIMENTOS S/A;Compras - Uso / manutenção Alysson;(14) 2105 – 6000;Av. José de Grande, 518/642 Bairro Fragata C – Marília – São Paulo CEP 17.519-903 – Caixa Postal 142;"uso.consumo@marilan.com; Alysson.silva@marilan.com";
;Parobé - RS;Mosmann Alimentos Ltda;André;(51) 3543-8500;RS 239 km 43 numero 5701 - Funil, Parobé - RS, 95630-000;logistica@mosmannalimentos.com.br;
;Passo Fundo  - RS;Stok Center (rede Comercial Zaffari);William - Engenharia;(54) 33113079;Rua General Osório, 1426 99010-140 Passo Fundo , RS , Brasil;engobras@zaffarinet.com.br;
;Passo Fundo - RS;Comercial Zaffari;Lacirdo;(54) 33171688;;lacirdo@zaffarinet.com.br;
;Pelotas;Macro Atacado Krolow;Alexandre;(53) 3223-1869;Av. Engenheiro Ildefonso Simões Lopes, 41 - Três Vendas, Pelotas - RS, 96060-290;alexandre@macroatacadokrolow.com.br;
;Pelotas;UniSuper;Janaina - Secretária do Diretor da Rede;(53) 3271-9636;Pelotas - RS, 96050-500;secretaria@unisuper.com.br;
;Pelotas - RS;Biscoito Zezé;Tiago (compras) Renato (Manutenção);(53) 3228-1671 - 53 999664747;Rua Comendador Rafael Dias Mazza, 581 / 96085-090 / Areal;tiago@zeze.com.br;
;Portão - RS;Biscoitos Zagonel;Guilerme;(51) 3562.1667;R. Batinga, 109 - São Jorge, Portão - RS, 93180-000;Guilherme@biscoitoszagonel.com.br;
;Porto Alegre - RS;Alibem Alimentos S/A;Elenise;51 2123 5000;Matriz -Av. Protásio Alves, 3326 - CEP.: 90410 007 - RS;compras@alibem.com;
;Porto Alegre - RS;Allenge;Cristiano;51 3337.8822;"RUA ARABUTÃ, 427
PORTO ALEGRE, RS – CEP 90240-470";compras@allenge.com.br;
;Rodeio Bonito  - RS;Stefanello;;(55) 3798-1587;Rua Humberto Possamai, nº 103 - Distrito Industrial / 98360-000 | Rodeio Bonito / RS;adm@laticiniostefanello.com.br;
;Santa Cruz do Sul - RS;Supermercado Miller;Fernando - gerente Geral / Luciano Almoxarifado;(51) 2106-8799;Av. Independência, 1113 - Santa Cruz do Sul/RS;"gerencia@supermiller.com.br; almoxarifado@supermiller.com.br";
;São José dos Pinhais-PR;Nutrimental S.A Ind. E Com. de Alimentos;Robson Vinicius Raizer;41 32991239;Av. Rui Barbosa, 8153, Águas Belas | CEP 83040-550;robson.vinicius@nutrimental.com.br;
;Sulina - PR;Piracanjuba Unidade Paraná;Marco Aurélio Dias;(46) 3244-8050;Estrada Linha Águas Termais SN  /  Lote 68, Gleba 04, Zona Rural  Sulina/PR;Marco.dias@piracanjuba.com.br;
;Três Rios - RJ;Piracanjuba Unidade Rio de Janeiro;Hildo Souza;(24) 2251-9400;Rodovia BR-040 SN KM 20 SALA 03  Moura Brasil  Três Rios/RJ – CEP 25.821-491;Hildo.souza@piracanjuba.com.br;
;São Paulo - SP;FABBRI Brasil LTDA;marketing.br@fabbri1905.com;11 27300530;Al. dos Nhambiquaras, 1438 Moema, São Paulo - SP;;
;Capela de Santana;Micro Cervejaria Barley;BARLEY@BARLEY.COM.BR;51 3698.1215 | 99982.3385;RODOVIA ERS 240, 9980 - KM 23 | CAPELA DE SANTANA/RS;;
;Portão;Anabe Proteínas;info@anabeproteinas.com.br;51 3191.2274 / 51 3191.2275;Estrada dos Lemmertz, 1500 – B. Estação Portão - Portão – RS - CEP: 93180-000;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Sebrae;Goianésia - GO;Jalles Machado;Bruno Miranda 62-985817665 - Marquim - Marcos Gomes 62 8595-7189;(62) 3389-9000 Ramal 8848;Rod. GO 080 Km 75,1 Zona Rural Caixa Postal 04  CEP: 76388-899;bruno.miranda@jallesmachado.com;
;São Marcos;Bepo;Marcel campeol - 54 991945411;51 32918200 ramal 373;BR 116 Km 113, nº 1155 ;;
;Joinville - SC;Ciser - Parafusos e Porcas;Eduardo Nunes da Silva; 47- 34413674 ;Rua Cachoeira, 70 89205-070;eduardo.silva@ciser.com.br;
;Contagem - MG;Arcelor Mittal;Leandro Paulo Sampaio Santos;31 - 33999839 - 992831244;Rua Quatro, 260 Bairro Riacho das Pedras 32250-030;leandro.ps.santos@arcelormittal.com.br;
;Joinville - SC;Romaço Rolamentos;Ana Celia Menani;47-34811094;Rua Dr. João Colin, 985 América - 89.204-001;ana.menani@romaco.com.br;
;Joinville - SC;CISER - Cia. Industrial H. Carlos Schneider;Fernando Alves dos Santos;47-34413512;RUA CACHOEIRA - 70;fernando.santos@ciser.com.br;
;;;;;;;
;MACAE;AFG INSPECAO E REPARO EM RISERS LTDA;Christiano Aguiar Pereira dos Santos ;;;caguiar@afglobalcorp.com;
;JOINVILLE;COPPER INDUSTRIA E COMERCIO DE VERGALHOES EIRELI;ADRIELE BERKENBROCK PEREIRA ;;;adrieleberkenbrockp@gmail.com;
;JOINVILLE;COPPER INDUSTRIA E COMERCIO DE VERGALHOES EIRELI;EDSON WERONDY ALVES DE ANDRADE ;;;edson@metalgroup.com.br;
;PIRACICABA;EB INDUSTRIA E COMERCIO DE BOMBAS E FUNDIDOS EIRELI;WALDIR GOMES DA SILVA;;;comercial1@ebbombas.com.br;
;TUBARAO;FERROVIA TEREZA CRISTINA S A;ANGELO HENRIQUE MARCON DARELA ;;;angelo.darela@ftc.com.br;
;ARROIO DO MEIO;TINTAS NOBRE - FREE TINTAS LTDA - EPP;DIEGO SOUZA ;;;diegoputch@hotmail.com;
;SÃO JOSÉ DO INHACORÁ;SÃO JOSE INDUSTRIAL - GERALDO N RECKTENWALD & CIA LTDA;Henrique André Schallenberger ;;;henrique@saojoseindustrial.com.br;
;CAMPO LARGO;GERMER PORCELANAS FINAS S.A.;RAFAEL RIBINSKI ;;;compras@germerporcelanas.com.br;
;RONDONÓPOLIS;HM SERVICOS E MANUTENCAO EIRELI;EDSON ARI HACK ;;;comercial@hmindustriamecanica.com.br;
;NOVO HAMBURGO;INDUSTRIA DE MAQUINAS ERPS LTDA;MARLOS DAVI SCHMIDT ;;;marlos@erps.com.br;
;MARAU;METASA SA INDUSTRIA METALURGICA;MAURICIO GUADAGNIN GATO / Cleber Vitalino Bilibio / JULIAN CONTERNO BORGES ;;;"mauricio.gato@metasa.com.br; cleber.bilibio@metasa.com.br; julian.borges@metasa.com.br";
;SÃO PAULO;NEW COMERCIO, INDUSTRIA, IMPORTACAO E EXPORTACAO INC. LTDA;CHRISTIAN GUSTAVO DOS REIS FERREIRA ;;;compras@newimportexport.com.br;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;INDAIATUBA - SP;AGRITECH LAVRALE S A - MAQUINARIO AGRICOLA E COMPONENTES;Danilo Tedeschi Schroeder;19-38019061;;dschroeder@agritech.ind.br;
;SÃO PAULO;AIR LIQUIDE BRASIL LTDA;HAROLDO DE OLIVEIRA ABREU;;;haroldo.abreu@airliquide.com;
;SAO GONCALO - RJ;ArTIG Serviços Tecnicos Caldeiraria e Usinagem LTDA;Fernando Leal;21 - 27238161;;comercial@artigservicos.com.br;
;Erechim - RS;Unindustria - Associação Brasileira de Industria e Fornecedores;HELTON RISCAROLLI LECZMANN;54 - 21065982;;compras@unindustria.ind.br;
;PARANAGUA - SC;AOCEP - ASSOCIACAO DOS OPERADORES PORTUARIOS DO CORREDOR DE EXPORTAÇÃO;NIKOLAOS PANAGIOTIS KYRIAZIDIS;41 - 34253960;;COMPRAS@AOCEP.COM.BR;
;PARANAGUA - SC;ATEXP - Associação dos Terminais do Corredor de Exportação de Paranaguá;Thiago Velloso da Cruz;41 - 34227995;;thiago.cruz@atexp.com.br;
;Gravataí - RS;ASTORIA PAPEIS LTDA;SERGIO RIBEIRO DA SILVEIRA JUNIOR;51 - 34848728;Av. Antônio Gomes Corrêa 1380 Parque dos Anjos, Gravataí CEP 94190-300 RS;compras@astoriapapeis.com.br;
;RIO DE JANEIRO;BALL BEVERAGE CAN SOUTH AMERICA S.A.;HANNA KLAJMIC SALAMA;21 - 21051485;;HSALAMA@BALL.COM;
;LONDRINA - PR;BENVENHO & CIA LTDA;André Felipe Bueno  / Cristiane Messias de Souza;43 - 21054393;;"almoxarifado01@midigraf.com.br; compras@midigraf.com.br; almoxarifado@midigraf.com.br";
